time,nitrate,phosphate
2023-10-26,0.50704503,0.16139649
2023-10-27,0.52692556,0.16145381
2023-10-28,0.46278545,0.16345707
2023-10-29,0.56052125,0.16239512
2023-10-30,0.56870353,0.16090296
2023-10-31,0.53366256,0.15950806
2023-11-01,0.49334982,0.15939415
2023-11-02,0.5248685,0.16002165
2023-11-03,0.49948838,0.16221973
2023-11-04,0.45388612,0.16348761
2023-11-05,0.42575347,0.16749641
2023-11-06,0.48425967,0.17063627
2023-11-07,0.5762348,0.1708136
2023-11-08,0.53994864,0.16994435
2023-11-09,0.47655633,0.17194316
2023-11-10,0.50824624,0.1732417
2023-11-11,0.4750682,0.17819586
2023-11-12,0.42839122,0.18667436
2023-11-13,0.52270895,0.18851195
2023-11-14,0.51802385,0.19094291
2023-11-15,0.5881825,0.19324812
2023-11-16,0.5734251,0.19369967
2023-11-17,0.57889366,0.19543543
2023-11-18,0.52693653,0.20129336
2023-11-19,0.5410731,0.2282556
2023-11-20,0.5995129,0.24558344
2023-11-21,0.7742343,0.248806
2023-11-22,0.6873911,0.24621007
2023-11-23,0.61769086,0.24857429
2023-11-24,0.62675256,0.25183195
2023-11-25,0.6744583,0.2529684
2023-11-26,0.61182743,0.27341726
2023-11-27,0.6816168,0.3192778
2023-11-28,0.7280445,0.322002
2023-11-29,0.72797215,0.3277725
2023-11-30,0.79661816,0.325949
2023-12-01,0.77733475,0.32567856
2023-12-02,0.8750252,0.3261582
2023-12-03,0.8899022,0.32466823
2023-12-04,0.8572958,0.32405767
2023-12-05,0.93203056,0.3246163
2023-12-06,0.8595432,0.32243168
2023-12-07,0.82759416,0.32072994
2023-12-08,0.8363208,0.32101172
2023-12-09,0.8368408,0.32327613
2023-12-10,1.0143194,0.32939166
2023-12-11,1.1942768,0.33007273
2023-12-12,1.3201202,0.32960096
2023-12-13,1.2255875,0.3278505
2023-12-14,1.044945,0.32772633
2023-12-15,1.0019261,0.32715815
2023-12-16,0.97182095,0.33401528
2023-12-17,1.0799404,0.33990523
2023-12-18,1.2134237,0.3416003
2023-12-19,1.3813255,0.34228155
2023-12-20,1.3901807,0.34025243
2023-12-21,1.388097,0.3387943
2023-12-22,1.3497261,0.3380528
